utgdag,kaupverd,nuvirdi,ist120,ibm2,ib2m2,ib3m2,rism2,bilskurm2,geymm2,svalm2,haednr,fjibmhl,top_floor,two_storey,storeys_3,lyftuhus,age_studull,bath_fixtures,fjbilsk,lodpflm,innig_factor,nybygging,fjarmalastofnunselur,hverfi,gata
11/7/2015,21500,21474,1200,"66,4",0,0,0,0,4,"11,7",1,6,0,0,0,0,45,2,0,166,1,0,0,601,0
11/7/2015,30000,29948,1200,"105,5",0,0,0,0,0,"9,6",2,8,0,0,0,0,42,2,0,223,"1,04",0,0,601,0
11/6/2015,19500,19496,1200,61,0,0,0,0,"6,9","9,1",2,18,0,0,0,0,45,2,0,"121,4",1,0,0,601,0
11/18/2015,21900,21833,1200,"67,3",0,0,0,0,"6,6","12,2",1,24,0,0,0,0,45,2,0,"133,9",1,0,0,601,0
11/15/2015,21500,21500,1200,65,0,0,0,0,"2,3",0,3,67,0,0,0,1,44,2,0,"71,5",1,0,0,601,0
11/11/2015,32900,32862,1200,"120,1",0,0,0,22,"6,4","9,2",3,7,0,0,0,0,37,2,0,299,1,0,0,601,0
11/26/2015,30500,30123,1200,"112,2",0,0,0,0,0,"5,7",2,6,0,0,0,0,45,2,0,302,1,0,0,601,0
11/22/2015,28000,27959,1200,"102,9",0,0,0,0,"6,7","9,6",1,9,0,0,0,0,45,2,0,228,1,0,0,601,0
11/25/2015,29000,28770,1200,"112,2",0,0,0,0,0,"7,9",2,6,0,0,0,0,39,2,0,0,"1,04",0,0,601,0
11/28/2015,28600,28335,1200,"112,2",0,0,0,0,"11,6","7,9",1,6,0,0,0,0,39,2,0,0,"0,94",0,0,601,0
12/3/2015,25500,25493,1200,"84,3",0,0,0,0,"5,1","12,7",3,6,0,0,0,0,45,2,0,204,1,0,0,601,0
12/5/2015,25000,24979,1200,"85,8",0,0,0,0,7,"12,7",1,3,0,0,0,0,45,3,0,172,1,0,0,601,0
11/28/2015,25000,24964,1200,"114,5","13,5",0,0,0,0,5,3,8,0,1,0,0,39,2,0,139,"1,11",0,1,601,0
12/10/2015,29700,29510,1200,"96,8",0,0,0,"33,3","7,7","7,2",4,9,0,0,0,0,37,2,0,279,1,0,0,601,0
12/6/2015,29900,29819,1200,"95,6",0,0,0,0,"9,1","5,9",3,6,0,0,0,0,43,3,0,156,1,0,0,601,0
12/11/2015,36600,36535,1200,"144,3",0,0,0,0,0,"14,6",3,12,0,0,0,0,42,2,0,298,"1,04",0,0,601,0
12/12/2015,29500,29378,1200,"118,3",0,0,0,0,"7,5","6,1",1,9,0,0,0,0,44,2,0,262,1,0,0,601,0
12/18/2015,27000,26980,1200,103,0,0,0,0,"5,6",13,2,9,0,0,0,0,45,2,0,224,1,0,0,601,0
12/24/2015,34000,33503,1200,"134,6","18,6",0,0,"24,8",0,"5,2",2,8,0,1,0,0,39,2,0,184,1,0,0,601,0
12/24/2015,29000,28972,1200,105,0,0,0,0,"6,1","13,1",3,9,0,0,0,0,33,2,0,273,1,0,0,601,0
2/14/2016,27500,27435,1200,101,0,0,0,0,"6,2","9,9",1,9,0,0,0,0,45,2,0,261,1,0,0,601,0
2/14/2016,28500,28479,1200,"96,8",0,0,0,0,"6,5","6,8",1,6,0,0,0,0,45,2,0,216,1,0,0,601,0
2/21/2016,28250,28675,1200,"105,2",0,0,0,0,"8,4","7,1",2,9,0,0,0,0,45,2,0,229,1,0,0,601,0
2/21/2016,27900,27878,1200,103,0,0,0,0,"6,5",13,1,9,0,0,0,0,45,2,0,224,1,0,1,601,0
2/25/2016,28500,28476,1200,"110,3",0,0,0,0,"7,6","13,1",2,6,0,0,0,0,45,3,0,203,1,0,1,601,0
3/12/2016,38000,37848,1200,"134,7",0,0,0,0,"7,8",0,1,5,0,0,0,0,27,3,0,"233,7",1,0,0,601,0
3/13/2016,32500,32500,1223,"72,2",0,0,0,0,0,"5,7",2,59,0,0,0,1,27,2,0,136,1,0,0,601,0
3/19/2016,32500,32322,1200,"112,2",0,0,0,0,10,"7,9",2,6,0,0,0,0,40,2,0,0,"1,07",0,0,601,0
3/20/2016,28000,27842,1200,"114,3",0,0,0,"22,3",6,"5,7",2,8,0,0,0,0,43,2,0,229,1,0,0,601,0
3/23/2016,29500,28926,1200,101,0,0,0,0,"5,9","9,9",3,9,0,0,0,0,45,2,0,261,1,0,0,601,0
3/24/2016,25100,25094,1223,"47,7",0,0,0,0,0,"5,7",2,59,0,0,0,1,27,2,0,95,1,0,0,601,0
3/24/2016,30000,29973,1200,"106,6",0,0,0,0,"6,6","9,3",4,11,0,0,0,0,38,2,0,231,1,0,0,601,0
4/7/2016,28000,27961,1200,"117,4","16,4",0,0,"24,8",0,5,4,8,0,1,0,0,40,2,0,166,"1,11",0,1,601,0
4/10/2016,30500,30473,1200,"95,6",0,0,0,0,"9,1","5,9",3,6,0,0,0,0,44,3,0,156,1,0,0,601,0
4/8/2016,30100,30070,1200,"102,7",0,0,0,0,"6,1","7,8",1,6,0,0,0,0,45,2,0,226,1,0,0,601,0
4/10/2016,31900,31879,1200,"138,7",0,0,0,0,"11,9","6,9",1,9,0,0,0,0,45,2,0,315,1,0,0,601,0
4/20/2016,29700,29674,1200,"96,1",0,0,0,0,"7,5","9,6",2,9,0,0,0,0,40,3,0,414,1,0,0,601,0
4/17/2016,30500,30403,1200,"111,2",0,0,0,"22,8","7,6","5,4",2,8,0,0,0,0,43,2,0,225,1,0,0,601,0
4/30/2016,30000,29864,1200,114,0,0,0,0,"21,5","6,2",3,12,0,0,0,0,42,3,0,170,1,0,0,601,0
4/17/2016,30500,30224,1200,"111,2",0,0,0,"22,8","7,6","5,4",2,8,0,0,0,0,43,2,0,225,1,0,0,601,0
5/4/2016,30800,30231,1200,"112,6",0,0,0,0,0,"11,3",3,8,0,0,0,0,43,2,0,235,"1,15",0,0,601,0
5/15/2016,29000,28985,1200,"110,3",0,0,0,0,"9,8","13,1",1,6,0,0,0,0,45,3,0,206,1,0,0,601,0
5/20/2016,27800,27738,1200,"91,3",0,0,0,0,"8,4","9,2",2,6,0,0,0,0,45,2,0,263,1,0,0,601,0
5/28/2016,32500,32459,1200,"118,2",0,0,0,0,0,"13,4",3,9,0,0,0,0,39,2,0,302,"0,96",0,0,601,0
6/1/2016,33500,33479,1200,"114,3",0,0,0,23,"8,7","5,7",3,8,0,0,0,0,43,2,0,233,1,0,0,601,0
6/4/2016,28000,27871,1200,"92,9",0,0,0,0,"9,5","6,4",3,6,0,0,0,0,44,3,0,151,1,0,0,601,0
6/4/2016,21300,21270,1200,"59,1",0,0,0,0,0,"6,7",1,8,0,0,0,0,39,2,0,160,"0,96",0,0,601,0
6/3/2016,22300,22293,1200,65,0,0,0,0,"2,7",0,5,67,0,0,0,1,45,2,0,"71,5",1,0,0,601,0
6/5/2016,34000,33992,1200,"120,9",0,0,0,24,11,7,2,8,0,0,0,0,42,2,0,196,1,0,0,601,0
6/15/2016,23200,23158,1200,"66,4",0,0,0,0,"4,3","11,7",3,6,0,0,0,0,45,2,0,165,1,0,0,601,0
6/22/2016,33200,33119,1200,"112,2",0,0,0,0,"7,5","7,9",3,6,0,0,0,0,40,2,0,0,"0,94",0,0,601,0
6/17/2016,27900,27893,1200,"89,5",0,0,0,0,0,"9,2",1,12,0,0,0,0,44,2,0,194,"1,04",0,0,601,0
6/29/2016,35000,34967,1200,"139,6",0,0,0,0,8,15,2,6,0,0,0,0,45,2,0,305,"1,06",0,0,601,0
7/3/2016,32000,31982,1200,"125,8",0,0,0,0,"7,7","10,8",3,6,0,0,0,0,45,3,0,232,1,0,0,601,0
7/10/2016,33000,32974,1200,109,0,0,0,25,"8,6","6,2",4,8,0,0,0,0,42,2,0,179,1,0,0,601,0
7/15/2016,33200,32179,1223,"79,2",0,0,0,0,0,"5,7",1,59,0,0,0,1,27,2,0,148,1,0,0,601,0
7/8/2016,34300,34246,1200,118,0,0,0,"22,8","5,8",6,2,8,0,0,0,0,43,2,0,238,1,0,0,601,0
7/14/2016,22000,21996,1200,"66,4",0,0,0,0,5,"11,7",1,6,0,0,0,0,45,2,0,176,1,0,0,601,0
8/4/2016,33500,33451,1223,"73,4",0,0,0,0,0,"5,7",2,59,0,0,0,1,27,2,0,138,1,0,0,601,0
8/6/2016,22000,21986,1200,"59,1",0,0,0,0,0,"6,7",3,9,0,0,0,0,39,2,0,161,"0,96",0,0,601,0
8/17/2016,29600,29461,1200,101,0,0,0,"22,3",6,"5,4",1,8,0,0,0,0,43,2,0,207,1,0,0,601,0
8/26/2016,34500,34443,1200,"108,9","4,9",0,0,0,0,"12,6",3,9,0,1,0,0,35,2,0,266,"0,96",0,0,601,0
8/27/2016,33000,32955,1200,"107,9",0,0,0,"24,5","6,7","9,7",2,8,0,0,0,0,42,3,0,230,1,0,0,601,0
9/8/2016,29000,28993,1200,"96,9",0,0,0,0,"9,9","6,8",1,6,0,0,0,0,45,2,0,220,1,0,0,601,0
9/11/2016,32000,29715,1200,"108,3",0,0,0,0,0,"10,8",3,8,0,0,0,0,43,2,0,228,"1,11",0,0,601,0
9/14/2016,40000,39978,1200,"124,4",0,0,0,0,4,"7,5",1,6,0,0,0,0,27,2,0,221,"1,22",0,0,601,0
9/9/2016,32000,31989,1200,"108,5",0,0,0,0,0,"10,8",1,12,0,0,0,0,44,2,0,230,"1,04",0,0,601,0
