utgdag,kaupverd,nuvirdi,ist120,ibm2,ib2m2,ib3m2,rism2,bilskurm2,geymm2,two_livunits,two_storey,storeys_3,age_studull,not_concrete,stud1house,bath_fixtures,fjbilsk,lodpflm,landratio,innig_factor,utig_factor,fjarmalastofnunselur,hverfi,gata
5/27/2016,68500,68459,1125,"233,8",87,"57,8",0,"26,6",0,0,0,1,34,"0,5",1,5,0,367,"0,577","1,06","1,02",0,320,0
5/27/2016,46000,45916,1126,"132,1","132,1",0,0,"35,6",0,0,0,0,40,0,1,3,0,314,"0,494","1,15",1,0,320,0
5/25/2016,15500,15463,1126,"57,5","57,5",0,0,0,"1,7",0,0,0,40,0,1,2,0,185,"0,291",1,1,0,320,0
5/29/2016,26700,26057,1126,"62,8","62,8",0,0,0,"4,1",0,0,0,40,0,1,2,0,"242,5","0,381","0,98","0,81",0,320,0
6/12/2016,40500,40486,1126,"159,7","9,3",0,0,0,0,0,0,1,40,0,1,3,0,"172,8","0,272","0,99",1,0,320,0
6/12/2016,42500,42465,1121,"114,4",0,"39,9",0,0,"20,7",0,1,0,40,0,1,3,0,345,"0,542","0,89",1,0,320,0
6/22/2016,60000,59657,1111,"155,2",0,67,0,"34,4",0,0,1,0,40,1,"1,07",3,0,614,"0,965","0,85",1,0,320,0
6/24/2016,50200,49949,1111,"235,9","84,8",0,0,"31,8",0,0,1,0,40,0,"1,069",3,0,1089,"1,712","1,05",1,1,320,63
7/3/2016,49500,49100,1111,"155,5","36,9",0,0,"31,5",0,0,1,0,40,0,"1,254",2,0,733,"1,153","0,77","0,89",0,320,0
7/10/2016,93000,91965,1125,"199,4",0,0,0,"25,9",0,0,1,0,3,0,1,5,0,"376,6","0,592",1,1,0,320,44
7/17/2016,35500,35103,1126,"93,4","93,4",0,0,0,0,0,0,0,40,0,1,2,0,289,"0,454","0,93",1,0,320,0
7/24/2016,65400,64967,1111,"204,6","82,8",0,0,39,0,0,1,0,40,0,"1,044",6,0,664,"1,044","1,15",1,0,320,0
7/23/2016,42700,42681,1126,"115,9",0,0,0,"37,6",38,0,1,0,40,0,1,4,0,634,"0,997",1,1,1,320,0
